drug_name,nafdac_number,manufacturer,batch_number,barcode,label,note
DEMO Ibuprofen 200mg,A4-75261,Sample Remedies Ltd,B68620,9376400630849,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Cetirizine 10mg,04-2066,Sample Health Nigeria Ltd,B51195,1182350153837,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Zinc 20mg,A11-5833,Example Healthcare Ltd,B20746,4611757018439,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Paracetamol 500mg,A11-3961,Demo Pharma Nigeria Ltd,B24568,1842097470479,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Vitamin C 100mg,999999,Demo Life Sciences Ltd,B39786,1218064186788,suspicious,Synthetic demonstration record; injected issue: bad_nafdac.
DEMO Paracetamol 500mg,A4-64899,Example Laboratories Ltd,12,2318921438591,suspicious,Synthetic demonstration record; injected issue: bad_batch.
DEMO Cetirizine 10mg,A11-8815,Sample Health Nigeria Ltd,B75981,9770508032879,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Cetirizine 10mg,A11-4847,Demo Life Sciences Ltd,B47807,999999999999999,suspicious,Synthetic demonstration record; injected issue: bad_barcode.
DEMO Vitamin C 100mg,A4-41348,Sample Remedies Ltd,B70018,9711160583349,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Zinc 20mg,A4-53804,Sample Remedies Ltd,B61102,7339571910796,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Amoxicillin 500mg,A4-26268,Example Laboratories Ltd,B20633,2394866602954,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Ibuprofen 200mg,A11-8861,Sample Health Nigeria Ltd,,7379758705966,suspicious,Synthetic demonstration record; injected issue: bad_batch.
DEMO Paracetamol 500mg,999999,Example Laboratories Ltd,B64342,6308109854702,suspicious,Synthetic demonstration record; injected issue: bad_nafdac.
DEMO Cetirizine 10mg,A4-21555,Sample Remedies Ltd,B42866,7275540663879,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Zinc 20mg,04-7639,Demo Life Sciences Ltd,B74625,7001499571213,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Artemether 20mg,A11-9878,Example Laboratories Ltd,B17729,3201644194831,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Ibuprofen 200mg,04-7698,Example Healthcare Ltd,B21776,2517803936244,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Vitamin C 100mg,04-9369,Demo Pharma Nigeria Ltd,,8185157314837,suspicious,Synthetic demonstration record; injected issue: bad_batch.
DEMO Paracetamol 500mg,A11-2767,Example Laboratories Ltd,B26909,9220429959057,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Artemether 20mg,04-9225,Example Laboratories Ltd,B24132,1106281793611,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Amoxicillin 500mg,04-2017,Example Laboratories Ltd,B69032,1906853690092,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Artemether 20mg,A11-6164,Sample Health Nigeria Ltd,B58864,3884093970070,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Zinc 20mg,A4-26865,Example Healthcare Ltd,B32978,6857310385395,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Zinc 20mg,04-2961,Sample Health Nigeria Ltd,12,8375751746958,suspicious,Synthetic demonstration record; injected issue: bad_batch.
DEMO Cetirizine 10mg,A4-72091,Sample Health Nigeria Ltd,B25695,3503954365492,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Cetirizine 10mg,04-5939,Example Healthcare Ltd,B15971,3171641065205,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Zinc 20mg,A11-3785,Demo Pharma Nigeria Ltd,B,8117786177768,suspicious,Synthetic demonstration record; injected issue: bad_batch.
DEMO Cetirizine 10mg,A1--77,Sample Health Nigeria Ltd,B60670,5255984639387,suspicious,Synthetic demonstration record; injected issue: bad_nafdac.
DEMO Ibuprofen 200mg,A11-5205,Sample Health Nigeria Ltd,B77759,8462990270827,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Amoxicillin 500mg,A4-53878,Example Healthcare Ltd,,1760328061093,suspicious,Synthetic demonstration record; injected issue: bad_batch.
DEMO Amoxcillin 500mg,A4-76444,Demo Pharma Nigeria Ltd,B78233,3636423158534,suspicious,Synthetic demonstration record; injected issue: odd_text.
DEMO Metronidazole 400mg,NAFDAC-XYZ-000,Demo Life Sciences Ltd,B35074,7380500671193,suspicious,Synthetic demonstration record; injected issue: bad_nafdac.
DEMO Cetirizine 10mg,A4/ABC,Example Healthcare Ltd,B49219,4539251209605,suspicious,Synthetic demonstration record; injected issue: bad_nafdac.
DEMO Vitamin C 100mg,A4-27426,Demo Pharma Nigeria Ltd,B61365,3827393992704,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Ibuprofen 200mg,A4-7381,Sample Health Nigeria Ltd,???,4401898058774,suspicious,Synthetic demonstration record; injected issue: bad_batch.
DEMO Artemether 20mg,A4-91233,Sample Remedies Ltd,,9868281059513,suspicious,Synthetic demonstration record; injected issue: bad_batch.
DEMO Artemether 20mg,04-7881,Example Healthcare Ltd,B-XYZ,4417473938334,suspicious,Synthetic demonstration record; injected issue: bad_batch.
DEMO Vitamin C 100mg,A11-6782,Sample Remedies Ltd,B77455,9778638914435,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Metronidazole 400mg,A11-8423,Sample Health Nigeria Ltd,B81028,8979021222995,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Metronidazole 400mg,A4-62116,Demo Pharma Nigeria Ltd,B80454,6531455973271,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Amoxicillin 500mg,A11-8220,Demo Pharma Nigeria Ltd,B85939,3429094095606,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Vitamin C 100mg,A11-5013,Demo Pharma Nigeria Ltd,B32002,8945283989300,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Zinc 20mg,A11-3850,Sample Remedies Ltd,B68611,7584643138871,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Paracetamol 500mg,FAKE-0001,Demo Life Sciences Ltd,B96760,8341872504357,suspicious,Synthetic demonstration record; injected issue: bad_nafdac.
DEMO Paracetamol 500mg,A4-77540,Sample Health Nigeria Ltd,B69201,6498628105749,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Artemether 20mg,04-8372,Example Healthcare Ltd,B29975,999999999999999,suspicious,Synthetic demonstration record; injected issue: bad_barcode.
DEMO Cetirizine 10mg,A11-8194,Example Healthcare Ltd,B93689,5082527606091,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Zinc 20mg,04-2162,Sample Remedies Ltd,B88733,ABC123456789,suspicious,Synthetic demonstration record; injected issue: bad_barcode.
DEMO Zinc 20mg,A11-2428,Demo Pharma Nigeria Ltd,B33851,4512485275950,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Amoxicillin 500mg,04-3614,Sample Health Nigeria Ltd,12,2758776295695,suspicious,Synthetic demonstration record; injected issue: bad_batch.
DEMO Paracetamol 500mg,A11-1212,Example Laboratories Ltd,B62168,6817843342523,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Zinc 20mg,A4-1462,Example Healthcare Ltd,B-XYZ,3296678610641,suspicious,Synthetic demonstration record; injected issue: bad_batch.
DEMO Vitamin C 100mg,A11-9977,Demo Life Sciences Ltd,B23631,7059954766616,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Artemether 20mg,04-5087,Demo Life Sciences Ltd,B24596,3991394215325,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Paracetamol 500mg,A11-6618,Example Healthcare Ltd,B71508,5875647144968,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Metronidazole 400mg,A11-7228,Example Laboratories Ltd,,4841160594978,suspicious,Synthetic demonstration record; injected issue: bad_batch.
DEMO Artemether 20mg,04-1641,Example Laboratories Ltd,B55539,8587524168690,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Ibuprofen 200mg,A4-99604,Demo Pharma Nigeria Ltd,B43888,3730038694139,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Paracetomol 500mg,A11-7404,Demo Pharma Nigeria Ltd,B34412,6755449919414,suspicious,Synthetic demonstration record; injected issue: odd_text.
DEMO Ibuprofen 200mg,A11-4184,Example Healthcare Ltd,B26541,1007421551512,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Ibuprofen 200mg,A11-8670,Demo Pharma Nigeria Ltd,B45629,3985743812132,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Paracetamol 500mg,FAKE-0001,Example Laboratories Ltd,B92441,3808924744182,suspicious,Synthetic demonstration record; injected issue: bad_nafdac.
DEMO Zinc 20mg,A11-1865,Demo Pharma Nigeria Ltd,,6407244002143,suspicious,Synthetic demonstration record; injected issue: bad_batch.
DEMO Amoxicillin 500mg,04-2565,Demo Life Sciences Ltd,12,6437207846953,suspicious,Synthetic demonstration record; injected issue: bad_batch.
DEMO Cetirizine 10mg,04-4281,Sample Health Nigeria Ltd,12,1361634153656,suspicious,Synthetic demonstration record; injected issue: bad_batch.
DEMO Paracetamol 500mg,04-5423,Demo Pharma Nigeria Ltd,B55650,9433135007885,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Ibuprofen 200mg,NAFDAC-XYZ-000,Example Healthcare Ltd,B12360,1724904520417,suspicious,Synthetic demonstration record; injected issue: bad_nafdac.
DEMO Ibuprofen 200mg,A4-3658,Demo Pharma Nigeria Ltd,B22896,3594867110293,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Amoxicillin 500mg,04-3311,Demo Life Sciences Ltd,B53788,6830897327964,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Cetirizine 10mg,04-3787,Demo Life Sciences Ltd,B,2388733468504,suspicious,Synthetic demonstration record; injected issue: bad_batch.
DEMO Ibuprofen 200mg,A4-9479,Sample Health Nigeria Ltd,B76742,9354147833008,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Paracetamol 500mg,A4-35818,Example Healthcare Ltd,B15631,1985385931307,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Amoxicillin 500mg,04-8670,Example Laboratories Ltd,B97348,6311919469101,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Metronidazole 400mg,A11-3975,Example Healthcare Ltd,B41931,1116940138046,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO @@@ 500mg,A11-2250,Example Healthcare Ltd,B58526,7839337578346,suspicious,Synthetic demonstration record; injected issue: odd_text.
DEMO Ibuprofen 200mg,A4-17638,Sample Health Nigeria Ltd,B70945,ABC123456789,suspicious,Synthetic demonstration record; injected issue: bad_barcode.
DEMO Amoxicillin 500mg,A4-2528,Demo Pharma Nigeria Ltd,B21875,1899386280751,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Amoxicillin 500mg,04-3898,Sample Remedies Ltd,B95868,3563782213994,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Metronidazole 400mg,A4-14070,Sample Health Nigeria Ltd,B95155,9272439090398,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Paracetamol 500mg,04-3715,Sample Health Nigeria Ltd,B-XYZ,4109832926109,suspicious,Synthetic demonstration record; injected issue: bad_batch.
DEMO Paracetamol 500mg,A4-67801,Sample Health Nigeria Ltd,B56067,3438283540476,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Paracetamol 500mg,A11-6087,Example Healthcare Ltd,B82359,1912915457689,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Amoxicillin 500mg,A11-1129,Demo Pharma Nigeria Ltd,B10400,7265047218516,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Vitamin C 100mg,04-7869,Sample Health Nigeria Ltd,B40482,3052714671607,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Artemether 20mg,A11-2559,Sample Health Nigeria Ltd,B39251,9637130972566,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Metronidazole 400mg,999999,Example Laboratories Ltd,B73892,7337070013190,suspicious,Synthetic demonstration record; injected issue: bad_nafdac.
DEMO Vitamin C 100mg,A4-4327,Demo Life Sciences Ltd,B22787,12345,suspicious,Synthetic demonstration record; injected issue: bad_barcode.
DEMO Artemether 20mg,A4/ABC,Demo Pharma Nigeria Ltd,B18480,2716544415904,suspicious,Synthetic demonstration record; injected issue: bad_nafdac.
DEMO Amoxicillin 500mg,A11-6580,Sample Remedies Ltd,B13424,4900365248134,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Metronidazole 400mg,A11-9695,Example Laboratories Ltd,B62111,5424091906032,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Artemether 20mg,A4-14426,Example Laboratories Ltd,B96102,5313003516000,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Zinc 20mg,A11-12X,Sample Remedies Ltd,B38725,3303451736926,suspicious,Synthetic demonstration record; injected issue: bad_nafdac.
DEMO Artemether 20mg,A11-3885,Demo Pharma Nigeria Ltd,B92998,1229514075641,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Paracetamol 500mg,04-6549,Demo Pharma Nigeria Ltd,B94004,9432158860203,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Vitamin C 100mg,A11-1872,Example Healthcare Ltd,B53695,7637144006725,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Paracetamol 500mg,04-7368,Example Laboratories Ltd,B38009,1112190938540,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Amoxicillin 500mg,A4-10155,Example Laboratories Ltd,B59526,8621867828024,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Ibuprofen 200mg,A11-7238,Sample Health Nigeria Ltd,B55582,12345,suspicious,Synthetic demonstration record; injected issue: bad_barcode.
DEMO Paracetamol 500mg,A4-56710,Example Healthcare Ltd,B50557,4162147149603,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Zinc 20mg,04-8395,Example Laboratories Ltd,B36310,5686935471631,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Artemether 20mg,A11-12X,Demo Pharma Nigeria Ltd,B27269,5526957279137,suspicious,Synthetic demonstration record; injected issue: bad_nafdac.
DEMO Ibuprofen 200mg,04-1295,Demo Pharma Nigeria Ltd,B63065,7964647851870,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Cetirizine 10mg,A11-3695,Demo Pharma Nigeria Ltd,B90512,3960492854288,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Artemether 20mg,A11-12X,Demo Life Sciences Ltd,B60453,5325482336434,suspicious,Synthetic demonstration record; injected issue: bad_nafdac.
DEMO Ibuprofen 200mg,A4-13425,Example Healthcare Ltd,B26050,6266330394771,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Artemether 20mg,A11-4349,Example Laboratories Ltd,B39728,ABC123456789,suspicious,Synthetic demonstration record; injected issue: bad_barcode.
DEMO Paracetamol 500mg,A11-4273,Sample Health Nigeria Ltd,B57509,8696475518357,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Cetirizine 10mg,A4-30414,Example Laboratories Ltd,B,1091164036073,suspicious,Synthetic demonstration record; injected issue: bad_batch.
DEMO Paracetamol 500mg,04-5656,Example Healthcare Ltd,B22483,9301506165959,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Amoxicillin 500mg,A4-15127,Demo Life Sciences Ltd,???,5940802598764,suspicious,Synthetic demonstration record; injected issue: bad_batch.
DEMO Zinc 20mg,04-3224,Demo Pharma Nigeria Ltd,B45734,9766986570824,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Metronidazole 400mg,A11-7226,Sample Health Nigeria Ltd,B93422,1673033808046,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Vitamin C 100mg,A11-5480,Demo Life Sciences Ltd,B86632,8509804769359,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Zinc 20mg,A4-25919,Demo Pharma Nigeria Ltd,B89018,8312569921450,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Zinc 20mg,A11-5859,Demo Life Sciences Ltd,B75100,6929615336260,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Cetirizine 10mg,A4-62382,Demo Life Sciences Ltd,B14894,3695612412471,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Paracetamol 500mg,999999,Example Laboratories Ltd,B74415,8652553166397,suspicious,Synthetic demonstration record; injected issue: bad_nafdac.
DEMO Artemether 20mg,A4-53337,Example Healthcare Ltd,B69309,4623517285330,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Paracetomol 500mg,04-6062,Demo Pharma Nigeria Ltd,B88514,9318607834685,suspicious,Synthetic demonstration record; injected issue: odd_text.
DEMO Cetirizine 10mg,A11-6056,Sample Health Nigeria Ltd,B98613,3231115208480,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Zinc 20mg,A11-3839,Example Healthcare Ltd,B49898,1063768187529,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Artemether 20mg,A11-8909,Example Laboratories Ltd,B26907,1363887382536,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Amoxicillin 500mg,04-9442,Sample Remedies Ltd,B11861,7808922670616,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Ibuprofen 200mg,A11-1315,Demo Pharma Nigeria Ltd,B72268,6033180058308,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Paracetomol 500mg,A11-1183,Sample Health Nigeria Ltd,B67091,9438087328955,suspicious,Synthetic demonstration record; injected issue: odd_text.
DEMO Ibuprofen 200mg,A4-29531,Example Healthcare Ltd,B50602,8106023836005,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Metronidazole 400mg,04-5348,Example Laboratories Ltd,B18276,6577431410930,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Artemether 20mg,04-5970,Example Laboratories Ltd,B97007,4952909613107,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Vitamin C 100mg,A4-90995,Sample Remedies Ltd,,4891018804907,suspicious,Synthetic demonstration record; injected issue: bad_batch.
DEMO Zinc 20mg,FAKE-0001,Example Healthcare Ltd,B60786,4979337017180,suspicious,Synthetic demonstration record; injected issue: bad_nafdac.
DEMO Zinc 20mg,A11-7714,Demo Life Sciences Ltd,12,7747564156490,suspicious,Synthetic demonstration record; injected issue: bad_batch.
DEMO Amoxicillin 500mg,04-8702,Demo Life Sciences Ltd,B54853,6294416991445,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Cetirizine 10mg,A11-12X,Demo Life Sciences Ltd,B43226,8347213653181,suspicious,Synthetic demonstration record; injected issue: bad_nafdac.
DEMO Ibuprofen 200mg,04-6134,Sample Remedies Ltd,B45283,8687822560254,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Vitamin C 100mg,A4-74534,Demo Pharma Nigeria Ltd,B64996,7463582129150,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Vitamin C 100mg,A4-95947,Sample Remedies Ltd,B82893,7132354454486,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO @@@ 500mg,04-7797,Example Laboratories Ltd,B21171,9741351846418,suspicious,Synthetic demonstration record; injected issue: odd_text.
DEMO Cetirizine 10mg,A4-61374,Sample Health Nigeria Ltd,B,5890162756813,suspicious,Synthetic demonstration record; injected issue: bad_batch.
DEMO Ibuprofen 200mg,A4-68231,Demo Pharma Nigeria Ltd,B63616,5553679767342,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Paracetamol 500mg,A4-5823,Sample Health Nigeria Ltd,B23817,8538555635698,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Zinc 20mg,A11-8157,Demo Pharma Nigeria Ltd,B12347,000000000000,suspicious,Synthetic demonstration record; injected issue: bad_barcode.
DEMO Amoxicillin 500mg,A4-88989,Example Laboratories Ltd,B63295,2390001791368,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Metronidazole 400mg,04-6878,Demo Life Sciences Ltd,B58640,3027230237615,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Vitamin C 100mg,A11-8666,Sample Remedies Ltd,B53206,9978831704652,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Vitamin C 100mg,A4-28756,Sample Health Nigeria Ltd,B68206,4096334514332,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Artemether 20mg,A4-43381,Demo Pharma Nigeria Ltd,B-XYZ,5484512428392,suspicious,Synthetic demonstration record; injected issue: bad_batch.
DEMO Cetirizine 10mg,A4-30037,Example Laboratories Ltd,B64376,9140557153774,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Zinc 20mg,A4-83882,Example Healthcare Ltd,B83096,8746600256782,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Amoxicillin 500mg,04-9000,Example Healthcare Ltd,B26190,2264051425501,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Vitamin C 100mg,A11-7555,Example Healthcare Ltd,B39008,000000000000,suspicious,Synthetic demonstration record; injected issue: bad_barcode.
DEMO Amoxicillin 500mg,04-6305,Demo Pharma Nigeria Ltd,B14087,8128209185467,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Metronidazole 400mg,A11-5357,Sample Remedies Ltd,B92361,8206416761989,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Metronidazole 400mg,A11-3068,Example Laboratories Ltd,B44966,8234944662779,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Ibuprofen 200mg,04-7682,Sample Remedies Ltd,B,1399575672195,suspicious,Synthetic demonstration record; injected issue: bad_batch.
DEMO Artemether 20mg,A4-1416,Sample Health Nigeria Ltd,B31477,3581519992121,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Cetirizine 10mg,A4-15176,Sample Health Nigeria Ltd,B29804,9419957710652,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Amoxicillin 500mg,999999,Example Healthcare Ltd,B65122,3032005929217,suspicious,Synthetic demonstration record; injected issue: bad_nafdac.
DEMO Artemether 20mg,A4-69758,Demo Life Sciences Ltd,B65351,9012321402815,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Vitamin C 100mg,A4/ABC,Sample Remedies Ltd,B41741,3885256562048,suspicious,Synthetic demonstration record; injected issue: bad_nafdac.
DEMO Cetirizine 10mg,04-4071,Example Healthcare Ltd,B34975,000000000000,suspicious,Synthetic demonstration record; injected issue: bad_barcode.
DEMO Ibuprofen 200mg,04-2825,Sample Health Nigeria Ltd,B28660,6784567577119,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Paracetamol 500mg,A4-59312,Example Laboratories Ltd,B96861,6389725330902,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Amoxcillin 500mg,A4-53902,Demo Pharma Nigeria Ltd,B61099,2949809820078,suspicious,Synthetic demonstration record; injected issue: odd_text.
DEMO Artemether 20mg,A4-6128,Example Laboratories Ltd,B12718,8342500197938,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Metronidazole 400mg,A4-43589,Example Laboratories Ltd,B35055,4504006050324,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Ibuprofen 200mg,A4-21111,Example Laboratories Ltd,B36759,2891733127759,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Ibuprofen 200mg,A11-7069,Example Healthcare Ltd,B88530,2426770262074,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Zinc 20mg,04-3213,Demo Life Sciences Ltd,B15156,000000000000,suspicious,Synthetic demonstration record; injected issue: bad_barcode.
DEMO Vitamin C 100mg,A4-96996,Example Healthcare Ltd,B32500,2900988949941,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Vitamin C 100mg,04-3665,Demo Pharma Nigeria Ltd,B61823,4239394079182,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Paracetamol 500mg,04-9325,Sample Remedies Ltd,B93200,8904832578043,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Cetirizine 10mg,A1--77,Example Healthcare Ltd,B35034,1480011775366,suspicious,Synthetic demonstration record; injected issue: bad_nafdac.
DEMO Zinc 20mg,A4-59866,Sample Remedies Ltd,B75488,2660244257611,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Artemether 20mg,04-1350,Sample Remedies Ltd,B95704,6536220309895,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Amoxicillin 500mg,FAKE-0001,Demo Life Sciences Ltd,B66117,5882896639427,suspicious,Synthetic demonstration record; injected issue: bad_nafdac.
DEMO Vitamin C 100mg,A11-4869,Example Healthcare Ltd,B36946,1426458104358,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Metronidazole 400mg,A4/ABC,Sample Health Nigeria Ltd,B17887,6166499552035,suspicious,Synthetic demonstration record; injected issue: bad_nafdac.
DEMO @@@ 500mg,A4-88302,Demo Pharma Nigeria Ltd,B23778,3981491140775,suspicious,Synthetic demonstration record; injected issue: odd_text.
DEMO @@@ 500mg,04-8668,Sample Health Nigeria Ltd,B26542,9930224865818,suspicious,Synthetic demonstration record; injected issue: odd_text.
DEMO Ibuprofen 200mg,A4-17388,Sample Remedies Ltd,12,8216216349902,suspicious,Synthetic demonstration record; injected issue: bad_batch.
DEMO @@@ 500mg,04-8193,Demo Life Sciences Ltd,B70868,4882236425843,suspicious,Synthetic demonstration record; injected issue: odd_text.
DEMO Zinc 20mg,04-2906,Demo Life Sciences Ltd,B,7386575588972,suspicious,Synthetic demonstration record; injected issue: bad_batch.
DEMO Vitamin C 100mg,A11-3294,Demo Life Sciences Ltd,B-XYZ,2505621055637,suspicious,Synthetic demonstration record; injected issue: bad_batch.
DEMO Metronidazole 400mg,A4-19706,Sample Health Nigeria Ltd,B81620,4970939541501,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Paracetamol 500mg,A11-3251,Sample Health Nigeria Ltd,B,1811232838344,suspicious,Synthetic demonstration record; injected issue: bad_batch.
DEMO Zinc 20mg,04-5603,Example Laboratories Ltd,B37861,2802437470811,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Ibuprofen 200mg,04-5329,Sample Remedies Ltd,B24230,5181423284736,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Artemether 20mg,A11-9892,Example Healthcare Ltd,B35032,9350631116449,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Vitamin C 100mg,A11-4828,Example Healthcare Ltd,B46349,3238213427090,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Ibuprofen 200mg,A4-65913,Sample Health Nigeria Ltd,B56129,999999999999999,suspicious,Synthetic demonstration record; injected issue: bad_barcode.
DEMO Artemether 20mg,A4-49638,Sample Health Nigeria Ltd,B-XYZ,8360343345196,suspicious,Synthetic demonstration record; injected issue: bad_batch.
DEMO Metronidazole 400mg,A11-5422,Demo Life Sciences Ltd,B,7822189748352,suspicious,Synthetic demonstration record; injected issue: bad_batch.
DEMO Artemether 20mg,A1--77,Sample Health Nigeria Ltd,B47656,5723300688482,suspicious,Synthetic demonstration record; injected issue: bad_nafdac.
DEMO Zinc 20mg,A1--77,Demo Life Sciences Ltd,B21509,4141038029998,suspicious,Synthetic demonstration record; injected issue: bad_nafdac.
DEMO Metronidazole 400mg,A11-2070,Example Healthcare Ltd,B10839,2381695128380,genuine_like,Synthetic demonstration record with internally consistent formatting.
